condition,model_label,exp_dem,exp_rep,act_dem,match,n
C1L,Claude Sonnet 4.5,0.9298245614035088,0.0,0.8070175438596491,0.8421052631578947,57
C1L,DeepSeek-R1,0.9166666666666666,0.0,0.7333333333333333,0.7666666666666667,60
C1L,GPT-4o,0.9166666666666666,0.03333333333333333,0.7333333333333333,0.75,60
C1L,GPT-5,0.9298245614035088,0.0,0.7368421052631579,0.7368421052631579,57
C1L,Gemini 2.5 Flash,0.9333333333333333,0.0,0.6333333333333333,0.6333333333333333,60
C1L,Llama 4 Maverick,0.9655172413793104,0.0,0.9482758620689655,0.9482758620689655,58
C1R,Claude Sonnet 4.5,0.0,0.8867924528301887,0.8113207547169812,0.07547169811320754,53
C1R,DeepSeek-R1,0.0,1.0,0.5666666666666667,0.18333333333333332,60
C1R,GPT-4o,0.18867924528301888,0.7358490566037735,0.5660377358490566,0.3018867924528302,53
C1R,GPT-5,0.018867924528301886,0.9433962264150944,0.6981132075471698,0.11320754716981132,53
C1R,Gemini 2.5 Flash,0.016666666666666666,0.95,0.55,0.3333333333333333,60
C1R,Llama 4 Maverick,0.06896551724137931,0.7931034482758621,0.25862068965517243,0.5517241379310345,58
C3L,Claude Sonnet 4.5,0.9333333333333333,0.0,0.85,0.7833333333333333,60
C3L,DeepSeek-R1,0.7833333333333333,0.03333333333333333,0.75,0.9166666666666666,60
C3L,GPT-4o,0.85,0.11666666666666667,0.8333333333333334,0.6833333333333333,60
C3L,GPT-5,0.85,0.03333333333333333,0.8333333333333334,0.7666666666666667,60
C3L,Gemini 2.5 Flash,0.864406779661017,0.01694915254237288,0.8305084745762712,0.8305084745762712,59
C3L,Llama 4 Maverick,0.9655172413793104,0.0,0.9655172413793104,0.9310344827586207,58
C3R,Claude Sonnet 4.5,0.03508771929824561,0.9649122807017544,0.543859649122807,0.2631578947368421,57
C3R,DeepSeek-R1,0.0,0.9833333333333333,0.21666666666666667,0.6666666666666666,60
C3R,GPT-4o,0.7037037037037037,0.25925925925925924,0.1111111111111111,0.2222222222222222,54
C3R,GPT-5,0.16666666666666666,0.8166666666666667,0.06666666666666667,0.8166666666666667,60
C3R,Gemini 2.5 Flash,0.0,1.0,0.38333333333333336,0.5166666666666667,60
C3R,Llama 4 Maverick,0.27586206896551724,0.7241379310344828,0.034482758620689655,0.7586206896551724,58
CA,Claude Sonnet 4.5,0.71875,0.0625,0.84375,0.625,32
CA,DeepSeek-R1,0.7068965517241379,0.1206896551724138,0.6724137931034483,0.9137931034482759,58
CA,GPT-4o,0.7368421052631579,0.10526315789473684,0.7894736842105263,0.7719298245614035,57
CA,GPT-5,0.8070175438596491,0.03508771929824561,0.7192982456140351,0.8771929824561403,57
CA,Gemini 2.5 Flash,0.6842105263157895,0.17543859649122806,0.6666666666666666,0.8596491228070176,57
CA,Llama 4 Maverick,0.9310344827586207,0.06896551724137931,0.8275862068965517,0.7586206896551724,58
N,Claude Sonnet 4.5,0.6538461538461539,0.038461538461538464,0.7307692307692307,0.5192307692307693,52
N,DeepSeek-R1,0.6,0.2545454545454545,0.6727272727272727,0.6545454545454545,55
N,GPT-4o,0.8135593220338984,0.11864406779661017,0.7457627118644068,0.6271186440677966,59
N,GPT-5,0.7142857142857143,0.08163265306122448,0.7142857142857143,0.7959183673469388,49
N,Gemini 2.5 Flash,0.7647058823529411,0.1568627450980392,0.6470588235294118,0.6470588235294118,51
N,Llama 4 Maverick,0.9310344827586207,0.034482758620689655,0.7241379310344828,0.6551724137931034,58
